Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
61420,ENGIE Storage Services NA LLC,62754.0,San Diego International Airport BESS,CA,San Diego,BA,Batteries,BA,,S,2.0, ,2,2, ,OP,X,6.0,2021.0,Commercial Non-CHP,4.0,2022
61219,Longroad Energy Services LLC,62755.0,Prospero Solar,TX,Andrews,PROSP,Solar Photovoltaic,PV,,S,300.0, ,300,300, ,OP,X,6.0,2020.0,IPP Non-CHP,2.0,2022
62655,RC Energy AA LLC,62756.0,RC Energy AA LLC Solar Facility,NM,Bernalillo,AA001,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,1.0,2011.0,IPP Non-CHP,2.0,2022
58468,Dominion Renewable Energy,62758.0,Meherrin Solar,VA,Greensville,MEHER,Solar Photovoltaic,PV,,S,59.6, ,59.6,59.6, ,OP,X,9.0,2022.0,IPP Non-CHP,2.0,2022
60281,"Altus Power America Management, LLC",62759.0,Greenville CSG,NY,Orange,GV,Solar Photovoltaic,PV,,S,2.0,1,2,2, ,OP,X,8.0,2019.0,IPP Non-CHP,2.0,2022
60281,"Altus Power America Management, LLC",62760.0,Hopkinton CSG,MA,Middlesex,WT,Solar Photovoltaic,PV,,S,2.0,1,2,2, ,OP,X,4.0,2019.0,IPP Non-CHP,2.0,2022
60281,"Altus Power America Management, LLC",62761.0,Chester CSG,NY,Orange,CH,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,7.0,2019.0,IPP Non-CHP,2.0,2022
60281,"Altus Power America Management, LLC",62763.0,Carver CSG,MA,Plymouth,CR,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,5.0,2019.0,IPP Non-CHP,2.0,2022
60281,"Altus Power America Management, LLC",62764.0,Westtown CSG,NY,Orange,WT,Solar Photovoltaic,PV,,S,2.0,1,2,2, ,OP,X,5.0,2019.0,IPP Non-CHP,2.0,2022
61219,Longroad Energy Services LLC,62765.0,El Campo Wind,TX,Knox,CAMPO,Onshore Wind Turbine,WT,,S,242.8, ,242.8,242.8,0,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
9234,Indiana Municipal Power Agency,62766.0,Scottsburg Solar Park,IN,Scott,SCCOT,Solar Photovoltaic,PV,,W,7.1, ,7.1,5.7, ,OP,X,10.0,2020.0,Electric Utility,1.0,2022
9234,Indiana Municipal Power Agency,62767.0,Gas City Solar Park,IN,Grant,SGASC,Solar Photovoltaic,PV,,W,2.5, ,2.5,2, ,OP,X,6.0,2020.0,Electric Utility,1.0,2022
9234,Indiana Municipal Power Agency,62769.0,Columbia City Solar Park,IN,Whitley,SCOLU,Solar Photovoltaic,PV,,W,4.3, ,4.3,3.5, ,OP,X,4.0,2021.0,Electric Utility,1.0,2022
9234,Indiana Municipal Power Agency,62770.0,Richmond Solar Park 3,IN,Wayne,SRIC3,Solar Photovoltaic,PV,,W,6.5, ,6.5,5.2, ,OP,X,12.0,2019.0,Electric Utility,1.0,2022
62680,BT Coniglio Solar LLC,62772.0,Coniglio Solar,TX,Fannin,BTCON,Solar Photovoltaic,PV,,S,123.6, ,123.6,123.6, ,OP,X,8.0,2021.0,IPP Non-CHP,2.0,2022
60496,"Adapture Renewables, Inc.",62773.0,"BT Cooke Solar, LLC",TX,Cooke,BTCOO,Solar Photovoltaic,PV,,S,59.0, ,59,59, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
62682,"Kellam Solar, LLC",62774.0,Kellam Solar,TX,Van Zandt,BTKEL,Solar Photovoltaic,PV,,J,59.0, ,59,59, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
60496,"Adapture Renewables, Inc.",62775.0,Wildberry,TN,Fayette,WILDB,Solar Photovoltaic,PV,,S,15.0, ,15,15, ,OP,X,7.0,2018.0,IPP Non-CHP,2.0,2022
9234,Indiana Municipal Power Agency,62776.0,Crawfordsville Solar Park 4,IN,Montgomery,SCRA4,Solar Photovoltaic,PV,,W,2.3, ,2.3,1.9, ,OP,X,6.0,2020.0,Electric Utility,1.0,2022
62684,Ulster Solar LLC,62777.0,Ulster County Solar,NY,Ulster,ULSTE,Solar Photovoltaic,PV,,S,1.4, ,1.4,1.4, ,OP,X,5.0,2018.0,IPP Non-CHP,2.0,2022
62690,Hecate Energy Blair Road LLC,62778.0,Hecate Energy Blair Road LLC,FL,Duval,HEJEA,Solar Photovoltaic,PV,,S,4.0, ,4.2,4.2, ,OP,X,1.0,2018.0,IPP Non-CHP,2.0,2022
63359,"REA Investments, LLC",62779.0,Novel Martin Solar One LLC (McLeod) CSG,MN,McLeod,MART,Solar Photovoltaic,PV,,S,1.0,0.98,1,1,1,OP,X,8.0,2019.0,IPP Non-CHP,2.0,2022
