Plant Name,Generator ID,Technology,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Excess Wind and Solar Generation,time
"Stryker 22, L.L.C.",EDGRD,Batteries,19.8,19.8,19.8,LIB,19.8,CS,,,2021
Plumsted 537 LLC,PLMST,Batteries,19.8,19.8,19.8,LIB,19.8,CS,,,2021
Redstone Arsenal Hybrid,BA,Batteries,2,0.5,0.5,LIB,1,CS,Y,Y,2021
Parkview Battery,PKVWB,Batteries,1,1.1,1.1,LIB,1.1,CS,,Y,2021
Punkin Center Battery Storage,B1,Batteries,8,2,2,LIB,2.2,CS,,,2021
ACUA,VACUA,Batteries,1,1,1,LIB,1,CS,,,2021
Casa Mesa Wind Energy Center Hybrid,CMNMB,Batteries,1,1,1,LIB,12.5,CS,,Y,2021
MCRD Parris Island PV Hybrid,TBESS,Batteries,4,4,4,LIB,4,CS,,Y,2021
TAC-Distributed Energy Resource Hybrid,BA,Batteries,0.5,0.3,0.3,LIB,0.3,CT,N,,2021
Gavilan Community College Solar Project,GDCBA,Batteries,0.5,0.2,0.3,LIB,0.3,CS,,Y,2021
UC Merced Solar Hybrid,UCMBA,Batteries,0.9,0.5,0.5,LIB,0.5,CS,N,Y,2021
Caldwell Wastewater Treatment Plant Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,0.5,OT,,Y,2021
KCE NY 1,KNY1,Batteries,8.4,20,20,LIB,6.5,CS,,,2021
Ashburnham Energy Storage Project,AMLPB,Batteries,3,3,3,LIB,3,CT,,,2021
Station 9 Energy Storage System,ESS1,Batteries,4.2,2,2,LIB,2,CS,,,2021
I25 Battery Storage,I25BA,Batteries,16,4,4,LIB,0.4,CS,,,2021
GMP Solar/Storage-Milton Hybrid,GMPBM,Batteries,8,2,2,LIB,2,OT,,Y,2021
GMP Solar/Storage-Ferrisburgh Hybrid,GMPBF,Batteries,8,2,2,LIB,2,OT,,Y,2021
GMP Solar/Storage-Essex Hybrid,GMPBE,Batteries,8,2,2,LIB,2,OT,,Y,2021
Kearny Mesa Storage LLC,U1,Batteries,1,1,1,LIB,1,CS,,,2021
Meyersdale Battery,BMY,Batteries,12.1,18,18,LIB,18,CT,,,2021
Echo River Solar,2,Batteries,75,30,30,LIB,30,CS,,Y,2021
Orange County Energy Storage 2,OCES2,Batteries,36,9,9,LIB,9,CS,Y,,2021
Orange County Energy Storage 3,OCES3,Batteries,24,6,6,LIB,6,CS,Y,,2021
Knoxville Battery Energy Storage,ES1,Batteries,4,1.1,1.1,LIB,1.1,CS,Y,,2021
Beebe Substation Battery Storage,WAKFD,Batteries,3,3,3,LIB,3,CT,,,2021
Commerce ESS,BA1,Batteries,10,10,10,LIB,10,CS,Y,Y,2021
Minuteman Energy Storage,MMES,Batteries,10,5,5,LIB,5,CS,,,2021
Happy Hollow CSG Hybrid,HHESS,Batteries,6.6,3.3,3.3,LIB,3.3,CS,N,Y,2021
Noland Wastewater Treatment Plant Hybrid,FAYEB,Batteries,13.1,6,6,LIB,6,BL,,,2021
Westside Wastewater Treatment Plant Hybrid,FAYWB,Batteries,13.1,6,6,LIB,6,BL,,,2021
CED Northampton Solar LLC Hybrid,NSES,Batteries,4.9,2,2,LIB,2,CS,,,2021
Eyak Service Center BESS,BESS1,Batteries,0.9,1,1,LIB,0.8,CS,,,2021
East Hampton Energy Storage Center,BEH,Batteries,40,5,5,LIB,5,BL,Y,,2021
Montauk Energy Storage Center,BME,Batteries,40,5,5,LIB,0.7,BL,,,2021
Prospect Storage,BESS,Batteries,10,9.9,9.9,LIB,3.3,CS,Y,,2021
San Diego International Airport BESS,BA,Batteries,4,2,2,LIB,2,CS,Y,,2021
Vallecito,ORN34,Batteries,10,10,10,LIB,10,CS,,,2021
Acushnet Ball Plant 2,ESS-1,Batteries,2,1,1,LIB,1,CS,,,2021
Acushnet Ball Plant 2,ESS-2,Batteries,1,0.5,0.5,LIB,0.5,CS,,,2021
98th Street Battery Storage Station,ESS98,Batteries,12,1,2,LIB,2,CS,,,2021
Marengo Battery Storage LLC,MBSS,Batteries,20,20,20,LIB,23.4,CS,,,2021
Nabb Battery Energy Storage System,ES1,Batteries,5,5,5,LIB,5,CS,,,2021
Acorn I Energy Storage LLC,ACOR1,Batteries,6,2,2,LIB,3,CS,Y,,2021
Wildcat I Energy Storage LLC,WILD1,Batteries,12,3,3,LIB,3,CS,Y,,2021
Hecate Energy Johanna Facility,HEGJF,Batteries,40,10,10,LIB,0.5,CS,Y,,2021
Hecate Energy Johanna Facility,HJFII,Batteries,40,10,10,LIB,0.5,CS,Y,,2021
Hinesburg,VEC,Batteries,1.9,1.9,1.9,LIB,1.9,CS,,,2021
Anoka BESS,BA,Batteries,12,6,6,LIB,4.9,CS,,Y,2021
Athens BESS,BA,Batteries,12,6,6,LIB,4.9,CS,,Y,2021
Syncarpha Puddon I Hybrid CSG,SYP1B,Batteries,8,4,4,LIB,1.2,CT,Y,Y,2021
Syncarpha Puddon II Hybrid CSG,SYP2B,Batteries,8,4,4,LIB,1.2,CT,Y,Y,2021
Syncarpha Leicester Hybrid CSG,SYLEB,Batteries,4.2,2,2,NIB,1.2,CT,Y,Y,2021
Syncarpha Halifax Hybrid CSG,SYHAB,Batteries,3.2,1.6,1.6,NIB,1,CT,Y,Y,2021
Syncarpha Blandford Hybrid CSG,SYBLB,Batteries,7.9,3.9,3.9,NIB,2.3,CT,Y,Y,2021
Syncarpha Northampton Hybrid CSG,SYNOB,Batteries,4,2,2,LIB,0.6,CT,,Y,2021
Syncarpha Northbridge II Hybrid CSG,SYN2B,Batteries,6,3,3,LIB,0.9,CT,Y,Y,2021
East Pulaski BESS,BESS,Batteries,4.2,2,2,LIB,0.6,CS,,,2021
"Finchville Solar, LLC Hybrid CSG",BESS,Batteries,4.4,1.9,1.9,LIB,0,CT,,Y,2021
"RT 52 Walden Solar 1, LLC Hybrid",BESS,Batteries,8.8,3.9,3.9,LIB,0,CT,,Y,2021
"Cronin Road Solar 1, LLC CSG Hybrid",BESS,Batteries,7.7,1.5,1.5,LIB,0,CT,,Y,2021
Fort Carson Battery Energy Storage System,1,Batteries,8.5,4.2,4.2,LIB,1.4,CS,,,2021
Ryan Road Solar LLC Hybrid(CSG),BESS,Batteries,14,4.3,4.3,LIB,0,CT,,Y,2021
Asheville-Rock Hill Battery,ES1,Batteries,8.8,8.8,8.8,LIB,8.8,CS,Y,,2021
Athens - Coopers Corner BESS,COOPR,Batteries,6,3,3,LIB,4.9,CS,,Y,2021
Imeson Solar,IMESS,Batteries,3.8,1.5,1.5,LIB,4,CS,,,2021
Middleton Solar Park,MDB02,Batteries,6.6,3,2.7,LIB,0.2,CS,,Y,2021
2W Permian Solar Project Hybrid,2WPBA,Batteries,40,40,40,LIB,13.1,BL,Y,,2021
Partridge Hill Solar Hybrid,BATT,Batteries,1.5,1.3,1.3,LIB,0,CS,,Y,2021
"AES Kekaha Solar, LLC Hybrid",BESS,Batteries,70,8,8,LIB,10,CT,,Y,2021
Camp Atterbury Microgrid Hybrid,ES1,Batteries,5,5,5,FLB,3.3,BL,,Y,2021
Kearsarge Amesbury Hybrid,AMBAT,Batteries,3.8,1.5,1.5,LIB,1.6,CS,,Y,2021
San Diego Zoo,SDZOO,Batteries,4,1,1,LIB,1.6,CS,N,,2021
"Middletown Solar 1, LLC Hybrid CSG",BATT,Batteries,6.6,1.6,1.6,LIB,0,CS,,Y,2021
Fresno Bullard High School Hybrid,BA903,Batteries,0.4,0.4,0.4,LIB,0,CS,,Y,2021
Fresno Hoover High School Hybrid,BA291,Batteries,0.2,0.2,0.2,LIB,0,CS,,Y,2021
Fresno Sunnyside High School Hybrid,BA112,Batteries,0.3,0.3,0.3,LIB,0,CS,,Y,2021
Rush Springs Energy Storage (BA),RUSHE,Batteries,20,10,10,FLB,10,CS,Y,,2021
Hurteau Solar Project Hybrid,BATT,Batteries,1.5,1.3,1.3,LIB,0,CS,,Y,2021
Alicea Solar Project Hybrid CSG,BATT,Batteries,3,1.5,1.5,LIB,0,CS,,Y,2021
McDougle-Mitchell Solar Project Hybrid CSG,BATT,Batteries,5.7,2.9,2.9,LIB,0,CS,,Y,2021
Cycz Solar Project CSG Hybrid,BATT,Batteries,2.5,1.3,1.3,LIB,0,CS,,Y,2021
West A&B Solar Project Hybrid CSG,BATT,Batteries,3.5,1.8,1.8,LIB,0,CS,,Y,2021
Annese Solar Project Hybrid CSG,BATT,Batteries,6.7,3.5,3.5,LIB,0,CS,,Y,2021
Randall Solar Project Hybrid,BATT,Batteries,6,3.2,3.2,LIB,0,CT,,Y,2021
Walnut Unified School District Walnut HS Hybrid,ST1,Batteries,0.5,0.1,0.1,LIB,0.1,CS,,Y,2021
Solar BESS Hybrid,TEST,Batteries,4,1,1,LIB,1,BL,,,2021
NY3 Battery,NY3,Batteries,12,3,3,LIB,3,CS,,,2021
Allergan,ALRGN,Batteries,9,1.5,1.5,LIB,1.5,OT,Y,,2021
Baker,BAKER,Batteries,6.3,1.2,1.2,LIB,1.2,OT,Y,,2021
CSU Long Beach,CSULB,Batteries,15,2.5,2.5,LIB,2.5,OT,Y,,2021
DATS,DATS0,Batteries,6,1,1,LIB,1,OT,Y,,2021
Downey,DOWNY,Batteries,13,2,2,LIB,2,OT,Y,,2021
LAWRP,LAWRP,Batteries,5,1,1,LIB,1,OT,Y,,2021
Long Beach Convention Center,LBCON,Batteries,8.6,1.5,1.5,LIB,1.5,OT,Y,,2021
OCSD,OCSD1,Batteries,32.6,4.9,4.9,LIB,4.9,OT,Y,,2021
SOCCD,SOCCD,Batteries,7.2,1.3,1.3,LIB,1.3,OT,Y,,2021
Cool Springs Solar (Hybrid),CSBAT,Batteries,80,40,40,LIB,72.4,CS,,Y,2021
Rawhide Prairie Solar Hybrid,BA1,Batteries,2,1,1,LIB,1,CS,,,2021
Silverstrand Grid Energy Storage System,SLV01,Batteries,44,11,11,LIB,3.6,CS,Y,,2021
Chisholm Grid Energy Storage System,CHS01,Batteries,125,100,100,LIB,33,CS,Y,,2021
CES Agawam Tuckahoe Solar Hybrid,ATES,Batteries,5.2,2.6,2.6,LIB,0.1,CS,,Y,2021
Mount Kisco Landfill Solar & Storage CSG,KISCB,Batteries,2.1,0.5,0.7,LIB,0.5,CS,,Y,2021
Tech Square Microgrid,BESS1,Batteries,0.4,0.2,0.2,LIB,0,BL,,,2021
Partridgeville Hybrid CSG,PBESS,Batteries,3.9,2,2,LIB,2,CS,,Y,2021
Williamsville Hybrid CSG,WBESS,Batteries,6.7,3.3,3.3,LIB,2.3,CS,,Y,2021
Gateway Energy Storage System,GTWAY,Batteries,250,250,250,LIB,3,BL,Y,,2021
"Johanna Energy Center, LLC",SASP1,Batteries,20,20,20,LIB,27.5,CT,,,2021
Saticoy,SATCY,Batteries,400,100,100,LIB,70,CS,Y,,2021
Lily Solar Hybrid,LILYB,Batteries,76,50,50,LIB,20,CS,,Y,2021
Cal Flats BESS,CF60,Batteries,242,60,60,LIB,66.5,CS,Y,Y,2021
Trenton,ES1,Batteries,10.1,11,11,LIB,1.7,CS,,,2021
Amaterasu LLC,BESS,Batteries,6,3.2,3.2,LIB,0,CT,,Y,2021
Desert Harvest II LLC,DH003,Batteries,140,35,35,LIB,11.5,CS,Y,N,2021
Ware Palmer Road Solar LLC CSG,WPRB,Batteries,4.5,2,2,LIB,0,CS,,Y,2021
East Brookfield Adams Road Solar LLC CSG,EBARB,Batteries,6.3,3,3,LIB,0,CS,,Y,2021
"BWC Stony Brook, LLC Hybrid",BESS,Batteries,1.4,0.7,0.7,LIB,0,CT,,Y,2021
ZPD-PT Solar Project 2017-038 Hybrid LLC,DRAES,Batteries,6.7,3.5,3.5,LIB,0,CT,,Y,2021
"BWC Muddy Brook, LLC Hybrid",MBES,Batteries,1.8,0.9,0.9,LIB,0,CT,,Y,2021
"BWC Lake Lashaway, LLC Hybrid",DRAES,Batteries,9,3.7,3.7,LIB,0,CT,,Y,2021
ZPD-PT Solar Project 2017-023 LLC Hybrid CSG,DRAES,Batteries,3.5,1.9,1.9,LIB,0,CT,,Y,2021
ZPD-PT Solar Project 2017-021 LLC Hybrid CSG,DRAES,Batteries,2.5,0.7,0.7,LIB,0,CT,,Y,2021
"Horn Rapids Solar, Storage and Training",HRBE,Batteries,4,1,1,LIB,2.4,CS,,,2021
Crane Battery Energy Storage System,ES1,Batteries,5,5,5,LIB,5,CS,,,2021
Burt County Solar Hybrid,2,Batteries,3,0.7,0.7,LIB,0.8,CS,,Y,2021
Dodge County Solar Hybrid,2,Batteries,3,0.7,0.7,LIB,0.8,CS,,Y,2021
Lincoln Medical and Mental Health Center,B1,Batteries,1,1,1,PBB,0.8,BL,,,2021
Lincoln Medical and Mental Health Center,B2,Batteries,1,1,1,PBB,0.8,BL,,,2021
Lincoln Medical and Mental Health Center,B3,Batteries,1,1,1,PBB,0.8,BL,,,2021
Alvin,ALVIN,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Odessa,ODSA,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Angleton,ANGLE,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Brazoria,BRAZ,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Heights,H8S,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Magnolia TX,MANGO,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Bat Cave,BC,Batteries,110,100,100,LIB,103,CS,Y,,2021
Dickinson,DIKN,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Loop 463,LOOP,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
North Fork TX,NF,Batteries,110,100,100,LIB,103,CS,Y,,2021
Ranchtown,RANCH,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Sweeny,SWNY,Batteries,9.9,9.9,9.9,LIB,11,CS,Y,,2021
Norwich Solar and Energy Storage CSG,NRWCB,Batteries,15,3,3,LIB,2.6,CS,,Y,2021
Decorah Battery,BESS1,Batteries,2.9,2.5,2.5,LIB,2.5,CS,,Y,2021
ZPD-PT Solar Project 2017-006 LLC Hybrid,DRAES,Batteries,5,2.5,2.5,LIB,0,CT,,Y,2021
BYU - Hawaii,BYESS,Batteries,1.9,1.9,1.9,LIB,1.9,CS,Y,Y,2021
