Plant Code,Generator ID,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),time
58000,ANA,55,Vestas,V100-1.8,17.0,3,262.4,2020
58004,1,33,Vestas,V90-3.0,19.5,2,266.7,2020
58008,CR,134,GE,1.6-100,18.1,3,263.0,2020
58018,1,65,GE,1.6-82.5,18.4,2,262.5,2020
58019,1,19,Suzlon,S97-2100,14.1,3,295.3,2020
58020,1,34,Nordex,N117/2400,13.8,3,298.6,2020
58021,1,57,GE,1.6-82.5,14.1,2,262.5,2020
58025,WTG1,1,Vestas,V82-1.65,19.0,2,262.0,2020
58025,WTG2,1,Vestas,V82-1.65,19.0,2,262.0,2020
58026,1,10,Gamesa,G90-2.0,19.0,2,256.0,2020
58035,BIWF,5,Alstom,Haliade 150,21.1,1,347.7,2020
58038,BCW,1,Goldwind,GW 82/1500,16.0,3,278.0,2020
58041,1,140,GE,1.68-82.5,24.0,2,328.0,2020
58041,2,27,GE,1.68-82.5,24.0,2,328.0,2020
58044,GEN1,2,Acciona,AW116/3000,31.3,2,328.0,2020
58045,GEN1,15,REpower,MM92,20.0,2,328.0,2020
58048,1,12,Nordex,N100/2500,19.0,2,262.4,2020
58065,CWT1,1,Sinovel,SL1500/82,8.4,3,230.0,2020
58071,1,1,GE,1.6-82.5,17.0,2,262.5,2020
58078,GE 1.,93,GE,1.62-100,24.0,2,328.0,2020
58080,1,75,GE,1.5 XLE,16.8,3,262.5,2020
58088,1,58,GE,1.6-100,15.9,3,262.5,2020
58089,1,2,GE,1.6 82.5,17.0,1,262.5,2020
58098,1,142,Gamesa,G114-2.0,18.4,2,262.0,2020
58099,1,56,Vestas,V136-3.45,13.8,4,285.0,2020
58101,WTG1,1,GE,1.6 XLE,12.0,4,262.4,2020
58101,WTG2,1,GE,1.6 XLE,12.0,4,262.4,2020
58102,WTG1,1,GE,1.5 SLE,13.4,4,213.0,2020
58102,WTG2,1,GE,1.5 SLE,13.4,4,213.0,2020
58103,1,14,Gamesa,G97-2.0,16.2,2,288.0,2020
58104,WTG1,1,Mitsubishi,MWT-1000A,13.9,4,180.0,2020
58105,WTG1,1,GE,1.5 SLE,21.0,4,213.0,2020
58106,MCPC,57,Suzlon,S97-2100,17.9,3,295.3,2020
58111,1,50,GE,1.6-100,16.8,3,328.0,2020
58112,WTG1,1,GE,1.5 SLE,21.0,4,213.0,2020
58113,WTG1,1,GE,1.5 SLE,21.0,1,213.0,2020
58113,WTG2,1,GE,1.5 SLE,21.0,1,213.0,2020
58114,WTG1,1,GE,1.6 XLE,20.4,1,262.4,2020
58114,WTG2,1,GE,1.6 XLE,20.4,1,262.4,2020
58114,WTG3,1,GE,1.85-87,20.4,1,262.4,2020
58121,GEN1,31,GE,1.6-100,17.0,3,328.0,2020
58121,GEN2,39,GE,1.6-100,17.0,3,328.0,2020
58121,GEN3,30,GE,1.6-100,17.0,3,328.0,2020
58126,1,125,GE,1.6 SLE,17.0,3,262.4,2020
58127,1,125,GE,1.6 SLE,14.7,3,262.4,2020
58137,1,43,Siemens,SWT-2.3-108,19.0,2,262.4,2020
58141,1,24,Gamesa,G78-2.0,14.8,3,256.0,2020
58154,GEN1,100,GE,1.6 XLE,16.8,2,286.0,2020
58155,GEN1,62,GE,1.6 XLE,16.8,3,262.5,2020
58162,CW,17,CCWE,CCWE-3600/115.D,14.0,2,279.0,2020
58203,1,63,GE,1.7-100,18.0,3,265.0,2020
58209,WT,26,Siemens,SWT-2.3-108,19.0,2,262.4,2020
58218,SKW25,25,GE,1.6-82.5,19.0,2,262.0,2020
58220,WTGA,1,Goldwind,GW 87/1500,13.0,3,263.0,2020
58220,WTGB,1,Goldwind,GW 87/1500,13.0,3,263.0,2020
58220,WTGC,1,Goldwind,GW 87/1500,13.0,3,263.0,2020
58233,GEN1,2,Vestas,V90-3.0,22.3,1,262.4,2020
58238,GMCW,4,Goldwind,GW 100/2500,17.5,2,262.4,2020
58242,1,118,GE,1.85-87,19.0,2,262.4,2020
58321,1,85,GE,1.7-100,16.8,3,263.0,2020
58322,1,118,GE,1.7-100,19.0,3,262.5,2020
58324,SIE23,43,Siemens,SWT-2.3-93,19.0,2,262.4,2020
58351,GE16,75,GE,1.6 XLE,16.8,3,262.5,2020
58363,WND1,51,GE,1.6 XLE,16.8,2,262.5,2020
58372,GEN1,85,GE,1.6 XLE,16.8,2,262.5,2020
58394,AW10,48,GE,2.85-103,22.4,2,262.0,2020
58395,AW11,48,GE,1.7-100,22.4,3,262.4,2020
58404,1,5,Siemens,SWT-2.3-101,27.0,2,262.4,2020
58407,WTG01,1,GE,1.6 XLE,16.0,2,262.4,2020
58414,NLMU,1,VENSYS,VENSYS82,15.0,3,279.0,2020
58416,1,100,Vestas,V110-2.0,16.7,3,311.0,2020
58424,1,6,Guodian United Power,GUP1500-82,16.5,3,262.4,2020
58425,WT1,11,GE,1.6 XLE,16.1,2,262.4,2020
58441,SW,5,Gamesa,G58-850,19.0,3,180.0,2020
58444,JHW,5,GE,1.62-82.5,17.6,2,262.4,2020
58456,1,1,GE,1.62-82.5,17.0,2,262.5,2020
58457,1,1,GE,1.62-82.5,17.0,2,262.5,2020
58458,1,1,GE,1.62-82.5,17.0,2,262.5,2020
58459,1,1,GE,1.62-82.5,17.0,2,262.5,2020
58460,1,1,GE,1.62-82.5,17.0,2,262.5,2020
58461,1,1,GE,1.62-82.5,17.0,2,262.5,2020
58464,0001,6,Vestas,V82,19.0,1,262.4,2020
58465,0002,6,Vestas,V82,19.0,1,262.4,2020
58474,GE1,135,GE,1.85-82.5,24.0,2,328.0,2020
58511,EWT1,1,EWT,DW54-900,15.1,3,240.0,2020
58511,EWT2,1,Northern Power,Northwind 100,15.1,3,240.0,2020
58511,NW1,1,Southwest Windpower,Skystream 3.7,15.1,3,120.0,2020
58548,WTG1,1,SANY,SE11020,16.8,3,262.4,2020
58548,WTG2,1,SANY,SE11020,16.8,3,262.4,2020
58548,WTG3,1,SANY,SE11020,16.8,3,262.4,2020
58548,WTG4,1,SANY,SE11020,16.8,3,262.4,2020
58571,1,116,Siemens,SWT-2.3-108,22.3,2,262.4,2020
58580,1,44,GE,1.7-100,16.8,3,262.4,2020
58587,1,59,GE,1.7-100,16.8,3,262.5,2020
58594,1,44,GE,1.7-100,16.8,3,262.5,2020
58596,GRVWI,118,GE,1.7-100,16.3,3,262.4,2020
58608,SRW1,3,GE,2.85-103,19.0,2,279.0,2020
58608,SRW2,9,GE,2.85-103,19.0,2,279.0,2020
58614,PAT1,63,Vestas,V136-3.6,14.9,3,285.0,2020
58620,1,8,GE,2.85-103,19.0,2,279.0,2020
58630,RPOH,2,GE,1.7-100,16.8,3,262.5,2020
58657,1,100,Vestas,V110-2.0,16.0,3,262.5,2020
58658,1,100,Vestas,V100-2.0,18.0,2,262.0,2020
58661,GE-3,1,GE,1.68-82.5,19.0,2,262.4,2020
58661,GE-4,1,GE,1.68-82.5,19.0,2,262.4,2020
58666,1,21,Siemens,SWT-2.3-108,20.1,2,262.4,2020
58677,1,69,GE,1.6 XLE,14.5,2,328.0,2020
58681,RT661,75,Vestas,V110-2.0,16.7,3,262.4,2020
58683,1,94,GE,1.7-103,18.0,3,262.4,2020
58686,HANC1,17,Vestas,V117-3.3,22.4,1,262.0,2020
58690,APLB1,29,Vestas,V126-3.45,14.5,2,285.0,2020
58691,STFK1,6,GE,2.3-116,18.1,3,263.0,2020
58692,1,39,Vestas,V110-2.0,15.4,3,262.4,2020
58694,1,106,Vestas,V100-2.0,15.7,3,312.0,2020
58695,1,200,Vestas,V100-2.0,15.6,3,312.0,2020
58719,WPH2,44,GE,1.6-100,17.0,3,328.0,2020
58720,1,79,Siemens,SWT-2.3-108,19.0,2,262.4,2020
58765,1,156,GE,1.85-87,19.1,2,262.4,2020
58766,1,150,GE,1.7-103,19.2,3,262.4,2020
58767,1,112,GE,1.79-100,20.6,2,262.4,2020
58768,1,10,GE,1.6-103,16.7,3,262.0,2020
58769,1,19,GE,1.79-100,20.4,2,262.4,2020
58769,SCIII,16,GE,1.79-100,18.6,2,262.4,2020
58771,GEN1,125,Vestas,V100-2.0,19.0,2,262.4,2020
58772,GEN1,100,Vestas,V100-2.0,19.0,2,262.4,2020
58773,GEN1,87,GE,1.85-82.5,19.0,2,262.4,2020
58774,GEN1,85,GE,1.6-82.5,19.0,2,262.4,2020
58775,GEN1,97,Vestas,V100-2.0,19.0,2,262.4,2020
58830,CWEP,62,GE,1.7-100,17.0,3,314.9,2020
58830,CWEP2,19,GE,2.3-116,17.0,3,308.0,2020
58830,CWEP3,33,GE,2.3-116,17.0,3,308.0,2020
58833,RH2W,15,Vestas,V110-2.0,14.3,3,262.5,2020
58836,LW1,32,GE,1.5-82.5,12.0,2,262.4,2020
58837,WT1,9,Vestas,V136-3.45,14.0,3,344.5,2020
58838,KW1,55,Vestas,V100-2.0,19.0,2,328.0,2020
58872,BISO4,64,Siemens,SWT-3.2-113,20.1,2,303.5,2020
58883,HLWF,214,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58883,HLWF2,40,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58883,HLWF3,38,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58883,HLWF4,38,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58883,HLWF5,49,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58883,HLWF6,40,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58883,HLWF7,7,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58884,LGWF,107,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58885,MBWF,51,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58886,WBWF,60,Siemens,SWT-2.3-108,16.8,3,262.4,2020
58887,ADAM,1,Clipper,Liberty C93,17.0,3,262.4,2020
58887,EVE,1,Clipper,Liberty C96,17.0,3,328.0,2020
58891,BTWF1,10,Gamesa,G114-2.0,16.7,2,305.0,2020
58891,BTWF2,14,Gamesa,G114-2.0,16.7,3,305.0,2020
58898,K4-1,103,GE,1.7-100,19.0,3,262.4,2020
58900,BAL1,162,GE,1.85-87,19.0,2,262.5,2020
58902,KNG1,149,Vestas,V100-2.0,19.0,2,262.4,2020
58904,1,16,Nordex,N100/2500,17.8,2,328.0,2020
58908,1,21,Nordex,N117/2400,14.1,3,299.0,2020
58924,SUG1,114,Vestas,V150-4.2,15.6,3,393.7,2020
58927,WT01,1,Goldwind,GW 82/1500,23.0,3,278.9,2020
58932,WT01,1,Goldwind,GW 82/1500,23.0,3,278.9,2020
58938,WT,75,Vestas,V100-2.0,27.0,2,295.0,2020
58939,AND1,3,Vestas,V82-1.65,19.0,2,262.4,2020
58940,AND2,5,Vestas,V100-2.0,19.0,2,262.4,2020
58958,CMLTW,1,Goldwind,GW 82/1500,16.0,3,229.6,2020
58965,2,16,Nordex,N117/3000,17.9,2,298.6,2020
58965,THNDR,43,Nordex,N100/2500,17.9,2,263.0,2020
58966,T 1-6,6,GE,1.7-100,15.6,3,262.4,2020
58979,CPHGN,40,Vestas,V110-2.0,15.0,3,312.0,2020
58981,BBII,43,GE,1.7-100,16.8,3,262.4,2020
58992,WND-1,1,Vestas,V82-1.65,20.5,2,262.4,2020
58992,WND-2,1,Vestas,V82-1.65,20.5,2,262.4,2020
58994,BWP,57,GE,1.7-103,14.5,3,263.0,2020
58995,OLFWT,1,Vestas,V82-1.65,14.5,3,270.0,2020
58998,GWWP,100,Vestas,V100-2.0,27.0,2,328.0,2020
58999,LEWP,34,Vestas,V110-2.0,27.0,3,361.0,2020
59003,1,6,GE,1.62-82.5,19.2,2,260.0,2020
59005,MAR1,96,GE,2.4-107,17.5,2,262.4,2020
59021,HOO1,49,Vestas,V100-2.0,17.0,2,311.0,2020
59022,1,1,Hyundai,HQ2000/86,25.0,2,262.4,2020
59023,GEN 1,1,Hyundai,HQ2000/86,25.0,2,262.4,2020
59024,N-54,1,Nordex,N54/1000,19.0,2,229.0,2020
59034,SHAN1,119,GE,1.7-103,16.8,3,262.5,2020
59053,WT1,1,Acciona,AW125/3000,22.8,2,287.0,2020
59061,WT1,139,Vestas,V110-2.0,14.5,4,95.0,2020
59063,WT1,67,Acciona,AW125/3000,17.5,2,287.0,2020
59065,WT1,54,Vestas,V110-2.0,12.0,3,262.0,2020
59066,MVII,76,Acciona,AW100/3000,17.1,4,287.0,2020
59068,GVII,112,GE,1.79-100,19.0,2,262.0,2020
59070,WT 1,5,GE,2.85-103,13.8,2,279.0,2020
59071,WT 1,9,Siemens,SWT-2.3-108,19.2,2,262.4,2020
59076,WT1,6,GE,1.7-103,15.0,3,262.4,2020
59083,WT1,118,GE,1.7-100,17.0,3,262.4,2020
59084,RPMA,36,Vestas,V110-2.0,15.6,3,312.0,2020
59118,CAM1,55,Acciona,AW125/3000,19.0,2,287.0,2020
59147,1,12,Nordex,N100/2500,17.8,2,328.1,2020
59187,B&H80,43,GE,1.85-87,20.1,1,262.4,2020
59193,CHA1,81,Acciona,AW125/3000,15.4,3,287.0,2020
59200,1,75,Vestas,V100-2.0,18.0,2,312.0,2020
59201,1,100,Vestas,V100-2.0,18.0,2,312.0,2020
59222,Q357,13,Vestas,V112-3.3,19.4,2,275.6,2020
59223,WT1,1,Acciona,AW125/3000,22.8,2,287.0,2020
59224,WT1,1,Acciona,AW125/3000,22.8,2,287.0,2020
59225,WT1,1,Acciona,AW125/3000,22.8,2,287.0,2020
59226,WT1,1,Acciona,AW125/3000,16.8,2,287.0,2020
59227,WT1,1,Acciona,AW125/3000,16.8,2,287.0,2020
59228,WT1,1,Acciona,AW125/3000,16.7,3,287.0,2020
59230,WT1,1,Acciona,AW125/3000,22.8,2,287.0,2020
59231,WT1,1,Acciona,AW125/3000,22.8,2,287.0,2020
59232,WT1,1,Acciona,AW125/3000,16.7,3,287.0,2020
59234,GEN1,50,Vestas,V110-2.0,19.0,2,276.0,2020
59235,GEN1,6,Vestas,V112-3.3,19.0,2,276.0,2020
59236,GEN1,30,Vestas,V112-3.0,19.0,2,276.0,2020
59238,WND2,28,Siemens,SWT-2.3-108,17.5,2,262.4,2020
59244,FIBE1,29,GE,2.3-116,19.0,2,200.0,2020
59245,FLUV1,74,Gamesa,G114-2.0,18.0,3,262.0,2020
59247,HALE1,239,Vestas,V110-2.0,19.0,2,262.0,2020
59284,GE1.7,117,GE,1.7-100,18.0,3,265.0,2020
59292,RCWP,101,Acciona,AW125/3000,25.0,2,410.0,2020
59295,NKG1,1,Goldwind,GW 82/1500,12.0,3,278.8,2020
59296,NWOH1,42,GE,2.5-120,16.1,4,295.0,2020
59301,WEDC1,1,VENSYS,VENSYS82,12.0,3,278.8,2020
59302,COV2,1,VENSYS,VENSYS82,12.5,3,278.8,2020
59302,COV2A,1,VENSYS,VENSYS82,12.6,3,278.8,2020
59302,COV2B,1,VENSYS,VENSYS82,12.8,3,278.8,2020
59305,WEDC3,1,VENSYS,VENSYS82,12.6,3,278.8,2020
59306,WEDC4,1,VENSYS,VENSYS82,12.0,3,278.8,2020
59311,SEIL1,117,GE,1.7-100,16.8,3,262.5,2020
59312,SEIL2,58,GE,1.7-100,16.8,3,262.5,2020
59313,COV5,1,VENSYS,VENSYS82,13.1,3,278.8,2020
59314,COV6,1,VENSYS,VENSYS82,12.4,3,278.8,2020
59314,COV6A,1,VENSYS,VENSYS82,12.0,3,278.8,2020
59314,COV6B,1,VENSYS,VENSYS82,12.3,3,278.8,2020
59320,GEN1,100,Vestas,V110-2.0,17.8,3,272.0,2020
59321,GEN1,100,Vestas,V110-2.0,16.7,3,272.0,2020
59328,GAC1,1,GE,1.85-82.5,16.1,3,262.0,2020
59329,SOL1,1,GE,1.85-82.5,14.3,3,262.0,2020
59330,TAY1,1,GE,1.85-82.5,13.2,3,262.0,2020
59331,ANB2,1,GE,1.85-82.5,13.4,3,262.0,2020
59332,MSCRK,118,GE,1.7-100,18.0,3,262.5,2020
59384,1,100,Vestas,V100-2.0,19.0,2,262.4,2020
59417,WT1,11,SANY,SE11020,18.5,2,255.9,2020
59435,OTE14,11,GE,1.85-87,19.0,2,262.4,2020
59442,1,87,Siemens,SWT-2.3-108,19.0,2,262.4,2020
59448,WEC01,1,VENSYS,VENSYS82,14.5,3,279.0,2020
59448,WEC02,1,VENSYS,VENSYS82,14.5,3,279.0,2020
59460,KNG1,130,Siemens,SWT-2.3-108,19.0,2,262.4,2020
59475,GE1.7,147,GE,1.79-100,16.5,2,262.5,2020
59490,JCW,5,GE,2.0-116,14.0,3,262.0,2020
59491,BCW,5,GE,2.0-116,14.7,3,262.0,2020
59492,DCW,5,GE,2.0-116,12.0,3,262.0,2020
59493,PW,5,GE,2.0-116,14.0,3,262.0,2020
59494,WSW,5,GE,2.0-116,15.0,3,262.0,2020
59547,1,65,Siemens,SWT-2.3-108,13.0,2,262.0,2020
59621,JRWND,162,GE,1.85-87,20.0,2,262.4,2020
59622,FGMA,4,Gamesa,G97-2.0,15.0,3,295.0,2020
59629,GEN1,37,Gamesa,G114-2.0,16.7,2,305.0,2020
59637,ADWF,64,Siemens,SWT-2.3-108,16.8,3,262.4,2020
59637,ADWF2,18,Siemens,SWT-2.3-108,16.8,3,262.4,2020
59637,ADWF3,20,Siemens,SWT-2.3-108,16.8,3,262.4,2020
59637,ADWF4,20,Siemens,SWT-2.3-108,16.8,3,263.0,2020
59639,LIGHT,1,SANY,SE9320III-3,14.0,3,262.0,2020
59654,1,39,GE,2.0-116,15.7,3,262.5,2020
59655,CCWF1,55,GE,1.7-103,18.5,3,262.4,2020
59684,LWP01,75,Vestas,V100-2.0,15.0,2,328.0,2020
59692,FPWTG,3,Goldwind,GW 82/1500,23.4,3,230.0,2020
59712,SRWI,31,Acciona,AW125/3000,16.8,2,287.0,2020
59724,SCIWT,1,Sinovel,SL1500/82,15.7,2,262.0,2020
59725,FHWTG,2,Sinovel,SL1500/82,14.9,2,262.0,2020
59732,GPI,50,Acciona,AW116/3000,12.0,2,302.0,2020
59733,GPII,50,Acciona,AW116/3000,12.0,2,302.0,2020
59734,BFW,81,GE,1.85-87,19.8,2,263.0,2020
59735,KCC01,4,Clipper,Liberty C96,13.4,2,262.4,2020
59736,7772,1,GE,1.85-87,19.0,2,262.5,2020
59776,T01,1,Vestas,V82-1.65,14.5,3,262.0,2020
59797,WT1,1,Leitwind,LTW77 1.500,15.0,2,262.0,2020
59817,GEN01,1,CPC,FD77-1500-IIIA,14.0,3,262.0,2020
59817,GEN03,1,GE,1.7-103,19.3,3,263.0,2020
59837,GEN1,75,Vestas,V100-2.0,19.0,2,262.4,2020
59838,GEN1,25,Vestas,V100-2.0,20.4,2,300.0,2020
59888,GEN,54,Vestas,V117-3.3,21.3,2,300.0,2020
59902,GEN,60,GE,2.82-127,17.0,2,292.0,2020
59903,GEN,29,Vestas,V126-3.45,20.0,2,285.4,2020
59943,1,118,GE,1.7-100,19.0,3,262.4,2020
59953,AWND1,9,Siemens,SWT-3.2-113,16.8,2,302.0,2020
59965,LTIGO,27,GE,2.0-116,13.0,3,262.0,2020
59968,1,104,Gamesa,G114-2.0,12.9,4,305.0,2020
59972,BRKAT,57,Vestas,V126-3.45,18.5,2,285.0,2020
59974,GW1,140,GE,1.7-103,14.0,3,262.4,2020
59975,CW1,88,GE,1.79-100,14.0,3,262.4,2020
60013,GRANT,66,Siemens,SWT-2.3-108,19.0,2,262.4,2020
60015,WNDW1,2,Goldwind,GW 87/1500,13.1,3,262.0,2020
60049,GE,48,GE,1.79-100,17.9,2,262.4,2020
60059,1,55,Vestas,V110-2.0,15.0,3,272.0,2020
60069,CBLF1,111,GE,1.79-100,19.0,1,262.0,2020
60087,SPII,91,Vestas,V117-3.3,22.4,1,262.0,2020
60088,SNFLR,52,Vestas,V100-2.0,19.0,2,262.0,2020
60104,GEWTG,126,GE,2.0-116,20.0,3,282.0,2020
60126,H1,1,Goldwind,GW 87/1500,14.0,3,283.0,2020
60128,Z1,1,Goldwind,GW 87/1500,13.0,3,262.0,2020
60128,Z2,1,Goldwind,GW 87/1500,13.0,3,262.0,2020
60128,Z3,1,Goldwind,GW 87/1500,13.0,3,262.0,2020
60132,NCG01,49,Gamesa,G97-2.0,18.0,2,255.9,2020
60143,WTG,34,GE,1.79-100,18.0,3,262.5,2020
60145,1,79,Siemens,SWT-2.3-108,19.0,2,80.0,2020
60152,1,62,Siemens,SWT-2.3-108,19.0,2,80.0,2020
60210,CPWF,21,GE,2.4-107,20.6,2,262.0,2020
60217,RKSP,69,GE,2.3-107,18.8,2,80.0,2020
60218,FC1,61,Vestas,V126-3.3,17.7,2,285.4,2020
60256,1,60,Vestas,V117-3.3,20.1,2,300.2,2020
60259,PWP1,46,GE,1.85-87,19.0,2,262.0,2020
60262,GEN1,41,GE,1.79-100,20.6,2,262.4,2020
60270,WT1,150,Vestas,V126-3.45,18.0,2,285.0,2020
60314,GEN1,20,GE,1.79-100,20.6,2,262.4,2020
60317,1,96,Siemens,SWT-2.3-108,19.0,2,80.0,2020
60326,OBWF,104,Siemens,SWT-2.3-108,16.8,3,262.4,2020
60326,OBWF2,45,Siemens,SWT-2.3-108,16.8,3,262.4,2020
60326,OBWF3,33,Siemens,SWT-2.3-108,16.8,3,262.4,2020
60329,RINGR,14,GE,2.85-103,19.0,2,295.3,2020
60338,EWF,100,GE,2.3-116,13.9,2,262.5,2020
60339,HCWF,100,GE,2.3-116,14.1,2,262.5,2020
60342,IGWF,134,GE,2.3-116,16.8,3,262.4,2020
60342,IGWF2,54,GE,2.3-116,16.8,3,262.4,2020
60342,IGWF3,41,GE,2.3-116,16.8,3,262.4,2020
60342,IGWF4,12,GE,2.3-116,16.8,3,262.4,2020
60354,BWEC2,72,GE,2.0-116,19.0,2,315.0,2020
60355,BWEC1,87,GE,1.79-100,19.0,2,315.0,2020
60366,OSWF,62,GE,2.4-107,20.6,2,262.0,2020
60404,PISGA,5,Vestas,V90-1.8,15.7,3,312.0,2020
60414,GEN1,120,GE,2.3-116,19.9,2,262.4,2020
60470,1,48,Gamesa,G114-2.0,16.7,3,305.0,2020
60471,GRNRV,74,Gamesa,G126-2.5,15.7,3,275.6,2020
60486,1,13,GE,2.5-100,18.0,2,220.0,2020
60502,GEN1,52,Siemens,SWT-2.3-108,17.0,2,262.4,2020
60503,CTTL1,87,GE,2.3-116,14.0,2,90.0,2020
60504,BLZG1,100,Vestas,V120-2.0,19.0,2,262.0,2020
60505,CRCKR,77,GE,2.0-116,19.5,2,295.0,2020
60541,WT1,1,GE,1.85-87,16.0,2,265.0,2020
60545,WT,64,Siemens,SWT-2.3-108,19.0,2,262.4,2020
60551,BLW01,25,GE,3.6 SL,16.3,3,430.0,2020
60574,GEN1,93,Vestas,V100-2.0,20.0,2,264.0,2020
60587,WND1,92,Vestas,V100-2.0,19.0,2,262.5,2020
60592,WT1,119,GE,2.0-116,18.0,3,265.0,2020
60594,VYGR1,38,Vestas,V112-3.45,22.0,1,275.0,2020
60619,GEN1,300,Vestas,V100-2.0,19.0,2,262.0,2020
60620,NSW,121,GE,1.79-100,13.0,1,280.0,2020
60639,KMW1,60,GE,1.7-103,13.0,3,280.0,2020
60639,KMW2,60,GE,1.7-103,13.0,3,280.0,2020
60645,WJ21,100,GE,2.0-116,13.0,3,328.0,2020
60655,WT1,150,Vestas,V110-2.0,15.0,2,360.0,2020
60657,GEN1,87,Vestas,V100-2.0,20.3,2,262.4,2020
60672,GEN1,97,GE,2.0-116,18.0,2,301.0,2020
60687,1,100,Vestas,V110-2.0,15.0,3,262.0,2020
60688,1,100,Vestas,V100-2.0,22.0,2,328.0,2020
60689,1,122,Siemens,SWT-2.3-108,19.0,2,262.5,2020
60700,WCS,2,GE,2.85-103,18.7,2,322.0,2020
60743,WT1,64,Goldwind,GW 109/2500,13.4,2,270.0,2020
60856,ASTRA,68,GE,2.4-107,19.0,2,262.0,2020
60865,WT1,2,Gamesa,G90-2.0,15.9,2,256.0,2020
60873,PWE,84,Vestas,V110-2.0,16.8,3,312.0,2020
60883,WT1,20,Vestas,V110-2.0,14.8,3,331.0,2020
60883,WT2,36,Vestas,V110-2.0,14.8,3,331.0,2020
60883,WT3,16,Vestas,V110-2.0,14.8,3,331.0,2020
60901,WSPWF,110,GE,2.5-120,16.2,4,295.3,2020
60902,DERM,110,GE,2.3-116,15.5,4,262.5,2020
60905,WT1,48,GE,2.0-116,19.0,2,301.0,2020
60911,GRN,1,GE,1.7-100,17.0,3,263.0,2020
60931,WT1,1,GE,1.7-103,18.0,2,264.0,2020
60932,WT1,4,GE,1.7-103,19.0,2,264.0,2020
60983,BWIND,29,Vestas,V126-3.45,19.2,3,297.0,2020
60987,GEN1,120,GE,2.5-120,19.2,2,456.0,2020
60991,STER1,13,GE,2.3-116,18.8,2,80.0,2020
60999,READW,64,Siemens Gamesa,G132-3.465,17.9,2,333.0,2020
61001,WT1,43,Vestas,V126-3.45,18.0,2,285.0,2020
61002,PORT1,1,VENSYS,VENSYS82,15.4,3,278.8,2020
61004,W1,1,Goldwind,GW 87/1500,13.0,1,262.0,2020
61005,W1,1,Goldwind,GW 87/1500,13.0,3,262.0,2020
61005,W2,1,Goldwind,GW 87/1500,13.0,3,262.0,2020
61005,W3,1,Goldwind,GW 87/1500,13.0,3,262.0,2020
61032,HTX,64,GE,2.82-127,19.2,2,291.9,2020
61039,WT1,15,Gamesa,G97-2.0,16.7,3,256.0,2020
61040,WT1,36,Gamesa,G114-2.0,19.7,2,262.0,2020
61047,WT1,39,GE,2.5-127,19.0,2,292.0,2020
61056,T1,1,GE,1.7-103,18.8,2,262.5,2020
61066,WTG1,1,GE,1.85-82.5,15.8,3,262.0,2020
61067,WTG1,1,GE,1.85-82.5,13.2,4,262.0,2020
61070,SWE,33,Vestas,V116-2.1,17.2,3,308.0,2020
61077,1,51,Vestas,V110-2.0,16.8,3,312.0,2020
61077,2,193,Vestas,V110-2.0,16.8,3,312.0,2020
61079,1,85,Vestas,V110-2.0,16.8,3,312.0,2020
61079,GT1,85,Vestas,V110-2.0,16.8,3,312.0,2020
61100,GE23,89,GE,2.72-116,19.9,2,487.0,2020
61106,1,65,GE,2.5-116,13.4,3,295.0,2020
61155,BT-MT,14,GE,1.79-100,16.0,3,262.4,2020
61161,GEN01,48,Vestas,V150-4.2,17.0,2,345.0,2020
61212,FTWI,100,Vestas,V110-2.0,15.5,3,312.0,2020
61221,WT1,48,Gamesa,G114-2.0,19.5,1,93.0,2020
61222,1,20,GE,2.3-107,18.0,3,295.0,2020
61261,RF1,60,Siemens,SWT-2.3-108,19.0,2,278.0,2020
61269,WT1,120,GE,2.5-116,26.0,2,380.0,2020
61270,RDDRT,95,Acciona,AW125/3150,25.0,2,410.0,2020
61303,BLUFF,56,GE,2.0-116,18.0,2,301.0,2020
61330,WT1,30,Vestas,V110-2.0,14.5,4,312.0,2020
61343,WT1,124,GE,2.5-127,15.1,3,90.0,2020
61344,WT1,42,Vestas,V136-3.45,16.1,3,269.0,2020
61356,W1,1,Goldwind,GW 87/1500,14.0,3,262.0,2020
61356,W2,1,Goldwind,GW 87/1500,14.0,3,262.0,2020
61357,RP1,100,Vestas,V110-2.0,17.9,2,262.0,2020
61402,FOARD,139,GE,2.5-127,16.8,2,88.0,2020
61407,CTNWD,40,GE,2.3-107,19.0,2,295.0,2020
61417,GCWF,76,Vestas,V110-2.0,19.0,2,262.0,2020
61442,WTG1,1,GE,1.7-100,14.5,3,262.0,2020
61443,WTG1,1,GE,1.7-100,14.0,3,262.0,2020
61444,WTG1,1,GE,1.7-100,14.5,3,262.0,2020
61540,WIND1,1,VESTAS,V100-2.0,18.6,2,262.5,2020
61540,WIND2,1,VESTAS,V100-2.0,18.6,2,262.5,2020
