Plant Code,Generator ID,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),time
56392,1,22,Siemens,SWT-2.3-93,19.0,2,262.4,2020
56394,1,54,Siemens,SWT-2.3-93,18.6,2,262.4,2020
56395,1,100,Gamesa,G87-2.0,19.0,2,255.0,2020
56399,1,12,Gamesa,G87-2.0,15.0,3,256.0,2020
56408,AWND1,4,Suzlon,S88-2100,15.9,2,262.4,2020
56409,1,1,Vestas,V82-1.65,15.7,2,240.0,2020
56410,1,1,Vestas,V82-1.65,15.7,2,240.0,2020
56411,1,1,Vestas,V82-1.65,15.7,2,240.0,2020
56412,1,1,Vestas,V82-1.65,15.7,2,240.0,2020
56413,1,1,Vestas,V82-1.65,15.7,2,240.0,2020
56414,WND1,1,Vestas,V82-1.65,19.1,2,237.0,2020
56414,WND2,1,Vestas,V82-1.65,19.1,2,237.0,2020
56415,WND1,1,NEG-Micon,NM54/950,16.8,2,237.0,2020
56415,WND2,1,NEG-Micon,NM54/950,16.8,2,237.0,2020
56415,WND3,1,Vestas,V82-1.65,19.1,2,237.0,2020
56415,WND4,1,Vestas,V82-1.65,19.1,2,237.0,2020
56416,1,46,GE,1.5 SLE,12.8,2,262.5,2020
56424,1,43,Siemens,SWT-1.0-54,19.0,2,262.5,2020
56432,1,70,Siemens,SWT-2.3-93,19.0,2,262.4,2020
56433,1,90,GE,1.5 SLE,19.0,2,218.0,2020
56434,BBWP,13,GE,1.5 XLE,14.9,2,262.4,2020
56435,GVWP,8,GE,1.5 XLE,14.1,2,262.4,2020
56437,MDWP,13,GE,1.5 XLE,14.4,2,262.4,2020
56439,OTWP,9,GE,1.5 XLE,14.0,2,262.4,2020
56440,PSWP,7,GE,1.5 XLE,14.9,2,262.4,2020
56441,SFWP,14,GE,1.5 XLE,14.4,2,262.4,2020
56442,TSWP,8,GE,1.5 XLE,13.8,2,262.4,2020
56443,TGWP,7,GE,1.5 XLE,14.1,2,262.4,2020
56446,1,38,Mitsubishi,MWT-1000,13.6,1,197.0,2020
56447,V-47,16,Vestas,V47-660,22.4,1,131.2,2020
56448,1,28,GE,1.5 SLE,19.0,2,262.4,2020
56449,1,20,GE,1.5 SE,22.0,1,298.0,2020
56450,1,40,Gamesa,G87-2.0,19.0,2,256.0,2020
56451,1,40,Gamesa,G87-2.0,19.0,2,256.0,2020
56457,1,56,GE,1.5 SLE,19.0,2,262.5,2020
56459,2,100,GE,1.5 SLE,17.9,2,262.0,2020
56460,WT1,50,GE,1.5 SLE,18.3,2,262.0,2020
56466,1,78,Vestas,V100-2.0,25.3,2,213.0,2020
56466,2,39,Vestas,V100-2.0,25.3,2,213.0,2020
56468,1,124,Siemens,SWT-2.3-93,13.4,4,262.4,2020
56468,2,51,Siemens,SWT-2.3-93,16.5,2,262.4,2020
56470,LRWF,13,Gamesa,G87-2.0,16.0,3,256.0,2020
56479,2,45,Gamesa,G87-2.0,18.6,2,255.9,2020
56483,1,100,Gamesa,G87-2.0,19.0,2,255.0,2020
56484,1,155,GE,1.5 S,17.0,2,201.0,2020
56485,1,76,Vestas,V82-1.65,19.0,2,260.0,2020
56485,2,71,Siemens,SWT-2.3-93,19.0,2,262.4,2020
56485,3,70,Siemens,SWT-2.3-93,19.0,2,262.4,2020
56487,1,89,Siemens,SWT-2.3-93,17.6,2,260.0,2020
56488,1,56,Vestas,V80-1.8,24.0,2,328.0,2020
56493,4,15,Vestas,V80-1.8,17.0,2,255.8,2020
56494,HP2,61,Vestas,V82-1.65,16.4,2,265.0,2020
56495,MS1,82,Gamesa,G80-2.0,18.3,1,255.9,2020
56495,MS2,50,Gamesa,G80-2.0,18.3,1,255.9,2020
56501,PWF,82,GE,1.5 SLE,16.8,3,263.0,2020
56501,PWF2,50,GE,1.5 SLE,16.8,3,263.0,2020
56501,PWF3,39,GE,1.5 SLE,16.8,3,263.0,2020
56501,PWF4,13,Siemens,SWT-2.3-101,16.8,3,262.4,2020
56506,SCW,87,GE,1.5 SLE,18.6,2,263.0,2020
56536,1,24,Suzlon,S88-2100,15.8,2,262.4,2020
