Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
62913,"Roundhouse Renewable Energy, LLC",63133.0,Roundhouse Wind Energy Project,WY,Laramie,82059,Onshore Wind Turbine,WT,,S,124.0,0.9,124,124,2.8,OP,X,6.0,2020.0,Industrial Non-CHP,6.0,2020
62913,"Roundhouse Renewable Energy, LLC",63133.0,Roundhouse Wind Energy Project,WY,Laramie,82060,Onshore Wind Turbine,WT,,S,79.0,0.87,79,79,2.8,OP,X,6.0,2020.0,Industrial Non-CHP,6.0,2020
62913,"Roundhouse Renewable Energy, LLC",63133.0,Roundhouse Wind Energy Project,WY,Laramie,82061,Onshore Wind Turbine,WT,,S,23.0,0.9,23,23,2.8,OP,X,6.0,2020.0,Industrial Non-CHP,6.0,2020
61227,Nautilus Solar Solutions,63136.0,Hopkins Hill CSG,RI,Kent,HH1,Solar Photovoltaic,PV,,S,4.8, ,4.8,4.8, ,OP,X,11.0,2020.0,IPP Non-CHP,2.0,2020
61227,Nautilus Solar Solutions,63136.0,Hopkins Hill CSG,RI,Kent,HH2,Solar Photovoltaic,PV,,S,4.7, ,4.7,4.7, ,OP,X,11.0,2020.0,IPP Non-CHP,2.0,2020
15470,"Duke Energy Indiana, LLC",63137.0,Tippecanoe Solar Power Plant,IN,Tippecanoe,PV1,Solar Photovoltaic,PV,,S,1.6, ,1.6,1.6,1.6,OP,X,12.0,2019.0,Electric Utility,1.0,2020
60531,Standard Solar,63138.0,USS Haven Solar LLC CSG,MN,Sherburne,USHAV,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,11.0,2019.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63139.0,USS White Cloud LLC CSG,MN,Sherburne,USSWC,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,11.0,2019.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63140.0,USS Westeros Solar LLC CSG,MN,Carver,USSWS,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,6.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63141.0,USS Sunrise Solar LLC CSG,MN,Chisago,SNRSE,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,6.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63142.0,USS Milkweed Solar LLC CSG,MN,Stearns,MLKWD,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,6.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63143.0,USS Greenhouse Solar LLC CSG,MN,Goodhue,GRHSE,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63144.0,USS Mayhew Solar LLC CSG,MN,Benton,MAYHW,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,6.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63145.0,USS Cheyenne Solar LLC CSG,MN,Chisago,CHYNE,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63146.0,USS Midtown Solar LLC CSG,MN,Stearns,MDTWN,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,2.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63147.0,USS Monarch Solar LLC CSG,MN,Pope,MNRCH,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,6.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63148.0,USS Turkey Solar LLC CSG,MN,Meeker,TURKY,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
56990,NJR Clean Energy Ventures Corporation,63149.0,Franklin Solar,NJ,Warren,FRANK,Solar Photovoltaic,PV,,S,8.8,1,8.8,8.8, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
56990,NJR Clean Energy Ventures Corporation,63150.0,Pohatcong Solar Farm,NJ,Warren,POHAT,Solar Photovoltaic,PV,,S,8.0,1,8,8, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63151.0,USS Solar Sources LLC CSG,MN,Washington,SOURC,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63152.0,USS Christoffer Solar LLC CSG,MN,Chippewa,CHRST,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,9.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63153.0,USS Buckaroo Solar LLC CSG,MN,Clay,BUCKR,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63154.0,USS Horne North Solar LLC CSG,MN,Clay,HORNN,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63155.0,USS Horne South Solar LLC CSG,MN,Clay,HORNS,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63156.0,USS JJ Clay Solar LLC CSG,MN,Clay,JJCLY,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63157.0,USS Verde Solar LLC CSG,MN,Redwood,VERDE,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63158.0,USS Cougar Solar LLC CSG,MN,Redwood,COUGR,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,9.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63159.0,USS Flower Solar LLC CSG,MN,Nicollet,FLOWR,Solar Photovoltaic,PV,,J,1.0, ,1,1, ,OP,X,9.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63160.0,USS All In Solar LLC CSG,MN,Freeborn,ALLIN,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
61012,AES Distributed Energy,63161.0,AES Tonawanda Solar LLC,NY,Erie,TNWDA,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
62961,"Mountain Parks Services, Inc.",63163.0,Tom Sifers Solar,CO,Grand,SIFRS,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,11.0,2019.0,IPP Non-CHP,2.0,2020
62961,"Mountain Parks Services, Inc.",63164.0,Whiskey Hill Solar,CO,Jackson,WHSKY,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,11.0,2019.0,IPP Non-CHP,2.0,2020
62953,USS Reindeer Solar LLC,63165.0,USS Reindeer Solar LLC CSG,MN,Benton,RENDR,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2020
62954,USS Bush Solar LLC,63166.0,USS Bush Solar LLC CSG,MN,Steele,BUSH,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
62956,USS Pheasant Solar LLC,63168.0,USS Pheasant Solar LLC CSG,MN,Chippewa,PHSNT,Solar Photovoltaic,PV,,S,1.0,1,1,1, ,OP,X,11.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63169.0,USS KVPV Solar LLC CSG,MN,Clay,KVPV,Solar Photovoltaic,PV,,S,1.0,1,1,1, ,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2020
62962,Hartmann Community Solar LLC,63174.0,Hartmann Project CSG,MN,Sherburne,TC3,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62963,E. Goenner Community Solar LLC,63175.0,E. Goenner Project CSG,MN,Sherburne,TC3,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62964,Prawer Community Solar LLC,63176.0,Prawer Project CSG,MN,Sherburne,TC3,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
62965,Schwinghamer Community Solar LLC,63177.0,Schwinghamer Project CSG,MN,Stearns,TC3,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62966,STAG St. Paul Community Solar LLC,63178.0,STAG St. Paul Project CSG,MN,Dakota,TC3,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,1.0,2020.0,IPP Non-CHP,2.0,2020
60970,SunShare Management,63179.0,Linden 01 CSG,MN,Scott,KANE1,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,5.0,2020.0,IPP Non-CHP,2.0,2020
62627,Alchemy Renewable Energy,63180.0,"TPE Whitney Solar, LLC",TX,Bosque,TXWHT,Solar Photovoltaic,PV,,S,9.9, ,9.9,9.9, ,OP,X,12.0,2017.0,IPP Non-CHP,2.0,2020
62923,Solar Planet Power,63181.0,Monroeville Solar,OH,Huron,MNVL,Solar Photovoltaic,PV,,S,3.2,0.84,3.2,3.2, ,OP,X,12.0,2017.0,IPP Non-CHP,2.0,2020
60970,SunShare Management,63182.0,Linden 02 CSG,MN,Scott,LIND2,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,5.0,2020.0,IPP Non-CHP,2.0,2020
60970,SunShare Management,63183.0,Linden 03 CSG,MN,Scott,LIND3,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,5.0,2020.0,IPP Non-CHP,2.0,2020
59300,PNM Resources,63184.0,Rio Rancho Solar Energy Center,NM,Bernalillo,RIRA,Solar Photovoltaic,PV,,S,10.0,1,10,10, ,OP,X,12.0,2019.0,Electric Utility,1.0,2020
56990,NJR Clean Energy Ventures Corporation,63185.0,Sayreville Solar Project,NJ,Middlesex,SAYRE,Solar Photovoltaic,PV,,S,3.1,1,3.1,3.1, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2020
62894,Imeson Solar Farm LLC,63186.0,Imeson Solar,FL,Duval,IMESO,Solar Photovoltaic,PV,,S,5.0, ,5,5, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62894,Imeson Solar Farm LLC,63186.0,Imeson Solar,FL,Duval,IMESS,Batteries,BA,,S,5.0, ,5,5,5,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62951,"FL Solar 4, LLC",63187.0,"FL Solar 4, LLC",FL,Leon,FL4,Solar Photovoltaic,PV,,S,42.0, ,42,42, ,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62701,"Vista Solar, Inc.",63191.0,Hopkinton Phase 2,RI,Washington,HTP2,Solar Photovoltaic,PV,,W,2.5, ,2.5,1.9, ,OP,X,9.0,2020.0,IPP Non-CHP,2.0,2020
56990,NJR Clean Energy Ventures Corporation,63198.0,ACCP NJ 1,NJ,Sussex,ACCP1,Solar Photovoltaic,PV,,S,1.2, ,1.2,1.2, ,OP,X,9.0,2020.0,IPP Non-CHP,2.0,2020
60474,"Vanguard Energy Partners, LLC",63200.0,"Bergenmand Solar Partners, LLC Mahwah",NJ,Bergen,SA1,Solar Photovoltaic,PV,,W,0.5,0.99,0.5,0.1, ,OP,X,8.0,2012.0,IPP Non-CHP,2.0,2020
60474,"Vanguard Energy Partners, LLC",63200.0,"Bergenmand Solar Partners, LLC Mahwah",NJ,Bergen,SA2,Solar Photovoltaic,PV,,W,0.5,0.99,0.5,0.1, ,OP,X,8.0,2012.0,IPP Non-CHP,2.0,2020
62988,DG California Solar LLC,63204.0,CID Solar (CA),CA,Kings,HLS,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2020
17650,Southern Power Co,63205.0,Skookumchuck Wind Facility,WA,Thurston,1,Onshore Wind Turbine,WT,,W,136.0, ,136.8,136.8,3.5,OP,X,11.0,2020.0,IPP Non-CHP,2.0,2020
62989,Rafael Solar LLC,63206.0,Rafael Solar,OR,Marion,RSPV1,Solar Photovoltaic,PV,,S,2.2,1,2.2,2.2, ,OP,X,10.0,2019.0,IPP Non-CHP,2.0,2020
62990,Case Creek Solar LLC,63207.0,Case Creek Solar,OR,Marion,CCPV1,Solar Photovoltaic,PV,,S,2.2,1,2.2,2.2, ,OP,X,10.0,2019.0,IPP Non-CHP,2.0,2020
62991,Kale Patch Solar LLC,63208.0,Kale Patch Solar,OR,Marion,KPPV1,Solar Photovoltaic,PV,,S,2.2,1,2.2,2.2, ,OP,X,10.0,2019.0,IPP Non-CHP,2.0,2020
58135,Ecos Energy LLC,63212.0,Battle Creek Solar,VT,Bennington,BC1,Solar Photovoltaic,PV,,S,2.2,0.99,2.2,2.2, ,OP,X,10.0,2018.0,IPP Non-CHP,2.0,2020
62947,Johnson Melloh Solutions,63213.0,Sheridan School Corporation Solar,IN,Hamilton,418ES,Solar Photovoltaic,PV,,W,0.6, ,0.4,0.4, ,OP,X,6.0,2016.0,Commercial Non-CHP,4.0,2020
62947,Johnson Melloh Solutions,63213.0,Sheridan School Corporation Solar,IN,Hamilton,418HS,Solar Photovoltaic,PV,,W,0.9, ,0.4,0.4, ,OP,X,12.0,2016.0,Commercial Non-CHP,4.0,2020
62950,"HG Solar Development, LLC",63214.0,Middleton Solar Park,MA,Essex,MDB02,Batteries,BA,,W,3.0, ,3,3,0.3,OP,X,12.0,2019.0,IPP Non-CHP,2.0,2020
62950,"HG Solar Development, LLC",63214.0,Middleton Solar Park,MA,Essex,MDL01,Solar Photovoltaic,PV,,S,5.0, ,5,3.8, ,OP,X,6.0,2018.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63216.0,USS B&B Solar LLC CSG,MN,Redwood,BB,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,9.0,2020.0,IPP Non-CHP,2.0,2020
62842,"Lightsource Renewable Energy Asset Management, LLC",63222.0,Impact Solar 1,TX,Lamar,TXIM1,Solar Photovoltaic,PV,,W,198.5,0.95,198.5,198.5, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2020
60531,Standard Solar,63224.0,NY 26 Carthage CSG,NY,Jefferson,X0140,Solar Photovoltaic,PV,,S,5.0, ,5,5, ,OP,X,3.0,2020.0,IPP Non-CHP,2.0,2020
